_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
6790297f58d39b7843f2d2ae,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,VICTOR MENDEZ PALACIOS,01H00736,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,0,2,12,5,17,17,0,0,0,0,0
6790297f58d39b7843f2d2af,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,JUAN IÑIGUEZ VINTIMILLA,01H00737,Ordinario,Fiscal,Rural,Sierra,Intercultural,4,3,7,41,48,89,89,0,0,0,0,0
6790297f58d39b7843f2d2b0,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,30 DE MAYO,01H00738,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,2,3,26,25,51,51,0,0,0,0,0
6790297f58d39b7843f2d2b1,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,DOLORES FLORES FLORES,01H00740,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,26,17,43,43,0,0,0,0,0
6790297f58d39b7843f2d2b2,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,FAUSTO RICARDO CHACON ARIAS,01H00741,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,2,3,40,36,76,76,0,0,0,0,0
6790297f58d39b7843f2d2b3,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,MARTIN WELTE,01H00742,Ordinario,Fiscal,Rural,Sierra,Intercultural,4,0,4,40,53,93,93,0,0,0,0,0
6790297f58d39b7843f2d2b4,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,QUINGEO,01H00745,Ordinario,Fiscal,Rural,Sierra,Intercultural,9,7,16,113,134,247,247,0,0,0,0,0
6790297f58d39b7843f2d2b5,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,CELIA DELGADO,01H00746,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,0,2,14,10,24,24,0,0,0,0,0
6790297f58d39b7843f2d2b6,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,ALFONSO RIVERA NOVILLO,01H00748,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,0,2,10,15,25,25,0,0,0,0,0
6790297f58d39b7843f2d2b7,2011-2012 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,EXTENSION QUINGEO MONSEÑOR LEONIDAS PROAÑO,01H00749,Popular Permanente,Fiscomisional,Rural,Sierra,Intercultural,2,0,2,22,22,44,44,0,0,0,0,0
